Details,Prix,Adresse,Superficie,image_link-src
TERRAINS A VENDRE  A TIVAOUANE PEULH COTE APIX,13000000,Tivaouane peulh,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2512f76d41a9b5715ddffbbdf26c63c3/-/horizon-files-prod/ed/picture/qrzz4wd4/26d56ed7ba4087be5e2f26f32763223f7844dc22.jpg
Terrain à vendre à la Sicap Liberté 6 Extension,120000000,Liberte 6 extension,180,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2b50694fa3494897e99609b160133c9f/-/horizon-files-prod/ed/picture/qzvp6p78/6b6db3b892e4abbfa0194b1fbfcfab0a6cf7c64f.jpg
Terrains à vendre à la lagune de Somone,20800000,Somone,400,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9d1f0cc596e84cf82cc622e94b040b6a/-/horizon-files-prod/ed/picture/q6xdmqdv/8dc79cc1f5e1e89f6bf20acbc823a4e742f2f8db.jpg
Terrain à vendre sortie autoroute à péage - 2 voies de Thies,5500000,Thiès,225,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3be2bfef7532f470e6e6bba0126530df/-/horizon-files-prod/ed/picture/qde7eqzj/3730f52dda22439a484d4af773e9cd11fd8151ba.jpg
Terrain route de Rufisque,299000,Hann Bel-Air,9863,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8a785b467236e6529b4a2c92db814aa5/-eyJvciI6OTB9/horizon-files-prod/ed/picture/qv4wzxdk/c750bc53cb50d51cba398016ce7b355d7c1b2b46.jpg
Mbodiene plage Terrains jumelés 300m2,10000000,Mbodiene,300,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9c79ce19d7534981a5c6731f4af5d7ec/-/horizon-files-prod/ed/picture/q8v4dm44/b78b159b1f056353ee847dbcfb774e890c355f45.jpg
Terrain 200m2 sortie 9 péage,50000000,Zac Mbao,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/67c31b5c9e08ccfff9867847e53879c6/-/horizon-files-prod/ed/picture/q44n6p29/8071e2e364e8f4c8062a6de754a254e69e656182.jpg
Saly:Terrain a bâtir,50000000,Saly Portudal,624,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d9d90bcf32bdfaefc990be985fda15ed/-/horizon-files-prod/ed/picture/qwep8nmm/9c94fa1c578b545ca6037a1e561d9b7c9e847a8c.jpg
Terrain clôturé 400m2 à Rufisque,85000000,Rufisque,400,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3d97ad23a864c2b0b4caa4198d5e65b6/-/horizon-files-prod/ed/picture/qgqw04wn/1ba2c10507c545a01c6a89abb43920ef5cd06847.jpg
Terrain 150m2 Almadies 2,30000000,Almadies 2,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3bea45ac694816afa8b7f73abaa7bb59/-/horizon-files-prod/ed/picture/qzvp6r88/2aed4ba712d96953a19ccdf1db71c9aa59aa1865.jpg
EXPLOITATION AGRICOLE,15000000,Saint-Louis,500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2073538521b8c91a6dacc4be4405bb62/-/horizon-files-prod/ed/picture/qgq9rre9/f15ccdd79fdbca96a7abf6de299fe96784ed7e77.jpg
Terrains TF à vendre cité sapco keur massar,35000000,Keur Massar,300,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9b732a950aa12cb2fdb8ce9bff080824/-/horizon-files-prod/ed/picture/qpd62wqm/e0299756124d6632aad23e99f907161e749e543d.jpg
Terrain à vendre à Deni biram ndaw,2500000,Lac Rose,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7e98109055b428f471e4840265326492/-/horizon-files-prod/ed/picture/q6xdq86n/9dd6cd7c020582d25df5bfa769be35cfc8c1d749.jpg
